# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : satNum Count Statistics
# Time      : 2025-06-01 20:22:52
#             END OF HEADER

+SYS
 gSys  AVE  MIN  MAX
--------------------
    G 11.3    8   14
    E 10.5    6   14
    R  8.0    6   11
    C 22.9   18   28
    J  0.7    0    2
  ALL 53.4   46   62
--------------------
-SYS

+SAT
               epoch    G   E   R   C   J ALL
 2025-01-01 03:20:00   10  11   7  21   1  50
 2025-01-01 03:20:30   10  11   7  21   1  50
 2025-01-01 03:21:00   10  11   7  20   1  49
 2025-01-01 03:21:30   10  11   7  20   1  49
 2025-01-01 03:22:00   10  11   7  20   1  49
 2025-01-01 03:22:30   10  11   7  20   1  49
 2025-01-01 03:23:00   10  11   7  20   1  49
 2025-01-01 03:23:30   10  11   7  20   1  49
 2025-01-01 03:24:00   10  10   7  20   1  48
 2025-01-01 03:24:30   10  11   7  20   1  49
 2025-01-01 03:25:00   10  11   7  20   1  49
 2025-01-01 03:25:30   10  10   7  20   1  48
 2025-01-01 03:26:00   10  10   7  20   0  47
 2025-01-01 03:26:30   10   9   7  20   0  46
 2025-01-01 03:27:00   10   9   7  20   0  46
 2025-01-01 03:27:30   10  10   7  20   1  48
 2025-01-01 03:28:00   10  10   7  20   1  48
 2025-01-01 03:28:30   10  11   7  20   1  49
 2025-01-01 03:29:00   10  10   7  20   1  48
 2025-01-01 03:29:30   10  10   7  20   1  48
 2025-01-01 03:30:00   10  10   7  20   1  48
 2025-01-01 03:30:30   11  10   8  20   1  50
 2025-01-01 03:31:00   11  10   8  20   1  50
 2025-01-01 03:31:30   11  10   8  20   1  50
 2025-01-01 03:32:00   11  11   8  20   1  51
 2025-01-01 03:32:30   11  10   8  20   1  50
 2025-01-01 03:33:00   11  10   8  20   1  50
 2025-01-01 03:33:30   11  10   8  20   1  50
 2025-01-01 03:34:00   11  11   8  20   1  51
 2025-01-01 03:34:30   11  11   8  20   1  51
 2025-01-01 03:35:00   11  10   8  20   1  50
 2025-01-01 03:35:30   11  10   8  20   1  50
 2025-01-01 03:36:00   11  10   8  20   1  50
 2025-01-01 03:36:30   11  10   8  20   1  50
 2025-01-01 03:37:00   11  10   8  20   1  50
 2025-01-01 03:37:30   11  10   8  20   1  50
 2025-01-01 03:38:00   11  10   8  20   1  50
 2025-01-01 03:38:30   11  10   8  20   1  50
 2025-01-01 03:39:00   10  10   8  20   1  49
 2025-01-01 03:39:30   10  10   8  20   1  49
 2025-01-01 03:40:00   10  10   8  20   1  49
 2025-01-01 03:40:30   10  10   8  20   1  49
 2025-01-01 03:41:00   10  10   8  20   1  49
 2025-01-01 03:41:30   10  10   8  20   1  49
 2025-01-01 03:42:00   10  10   8  20   1  49
 2025-01-01 03:42:30   10  10   8  20   1  49
 2025-01-01 03:43:00   10  10   8  20   1  49
 2025-01-01 03:43:30   10  10   8  20   1  49
 2025-01-01 03:44:00   10  10   8  20   1  49
 2025-01-01 03:44:30   10  10   9  20   1  50
 2025-01-01 03:45:00   10  10   9  20   1  50
 2025-01-01 03:45:30   10  10   9  20   1  50
 2025-01-01 03:46:00   10  10   9  20   1  50
 2025-01-01 03:46:30   10  10   9  19   1  49
 2025-01-01 03:47:00   10  10   9  19   1  49
 2025-01-01 03:47:30   10  10   9  19   1  49
 2025-01-01 03:48:00   10  10   9  19   1  49
 2025-01-01 03:48:30   10  10   9  19   1  49
 2025-01-01 03:49:00   10  10   9  19   1  49
 2025-01-01 03:49:30   10  10   9  19   1  49
 2025-01-01 03:50:00   10  10   9  19   1  49
 2025-01-01 03:50:30   10  10   9  19   1  49
 2025-01-01 03:51:00   10  10   9  19   1  49
 2025-01-01 03:51:30   10  10   9  19   1  49
 2025-01-01 03:52:00   10  10   9  19   1  49
 2025-01-01 03:52:30   10  10   9  19   1  49
 2025-01-01 03:53:00   10  10   9  19   1  49
 2025-01-01 03:53:30   11  10   9  19   1  50
 2025-01-01 03:54:00   10  10   9  19   1  49
 2025-01-01 03:54:30   10  10   9  19   1  49
 2025-01-01 03:55:00   10  10   9  19   1  49
 2025-01-01 03:55:30   10  10   9  19   1  49
 2025-01-01 03:56:00   10  10   9  19   1  49
 2025-01-01 03:56:30   10  10   9  19   1  49
 2025-01-01 03:57:00   11  10   9  19   1  50
 2025-01-01 03:57:30   11  10   9  19   1  50
 2025-01-01 03:58:00   11  10   9  19   1  50
 2025-01-01 03:58:30   11  10   8  19   1  49
 2025-01-01 03:59:00   11  10   9  19   1  50
 2025-01-01 03:59:30   11  10   9  19   1  50
 2025-01-01 04:00:00   11  10   9  19   1  50
 2025-01-01 04:00:30   11  10   9  19   1  50
 2025-01-01 04:01:00   11  10   9  19   1  50
 2025-01-01 04:01:30   11  10   9  19   1  50
 2025-01-01 04:02:00   11  10   9  19   1  50
 2025-01-01 04:02:30   11  10   9  19   1  50
 2025-01-01 04:03:00   11  10   8  19   1  49
 2025-01-01 04:03:30   11  10   8  19   1  49
 2025-01-01 04:04:00   11  10   8  19   1  49
 2025-01-01 04:04:30   11  10   8  19   1  49
 2025-01-01 04:05:00   11  10   8  19   1  49
 2025-01-01 04:05:30   11  10   8  19   1  49
